complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label,x,y,DBSCAN_Cluster,KMeans_Cluster,Risk Score,Risk Level,Root Cause
"color mismatch in my order, very upset",color_mismatch,english,0.66,6,3,1,0.3937367188796189,-0.6687577691426547,0,0,60,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.95,3,1,1,-1.711371593081928,-3.4244080913301573,2,2,58,High,Isolated complaint - no systemic cause
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,13,4,1,-1.7836398170721757,2.381926407704887,3,1,83,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.82,17,2,1,-1.1929884771589887,1.3139764086581622,3,1,85,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,0,1,0,3.966911999619658,-0.268436093168843,1,3,41,Medium,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.76,4,3,1,3.429179190843084,0.2884144875879759,1,3,61,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,1,4,1,-1.7836398170721757,2.381926407704887,3,1,67,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.35,9,2,0,-0.3911203663377927,-0.935641499841797,0,0,45,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.9,9,2,1,3.429179190843084,0.2884144875879759,1,3,73,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.63,2,1,0,0.3937367188796189,-0.6687577691426547,0,0,40,Medium,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.62,5,4,1,-1.357461773663346,2.7296125988696343,3,1,61,High,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.6,6,1,0,3.429179190843084,0.2884144875879759,1,3,47,Medium,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.45,10,3,1,-1.357461773663346,2.7296125988696343,3,1,57,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.46,5,4,1,-1.357461773663346,2.7296125988696343,3,1,53,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,6,2,0,3.966911999619658,-0.268436093168843,1,3,51,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,18,2,1,-1.1929884771589887,1.3139764086581622,3,1,89,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.64,5,4,1,-1.5922467547828327,-2.1694281828813136,2,2,62,High,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,2,2,0,-1.1929884771589887,1.3139764086581622,3,1,50,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.76,5,3,1,0.3937367188796189,-0.6687577691426547,0,0,63,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,18,4,1,-1.1929884771589887,1.3139764086581622,3,1,104,Critical,Payment gateway or bank processing delay
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.7,14,2,0,-1.711371593081928,-3.4244080913301573,2,2,73,High,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.79,18,3,1,-1.5922467547828327,-2.1694281828813136,2,2,90,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.9,7,1,1,3.966911999619658,-0.268436093168843,1,3,64,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.85,13,2,1,-1.5922467547828327,-2.1694281828813136,2,2,78,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.68,3,3,1,-1.711371593081928,-3.4244080913301573,2,2,55,High,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.73,12,3,1,-1.5922467547828327,-2.1694281828813136,2,2,75,Critical,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,20,4,1,-1.1929884771589887,1.3139764086581622,3,1,107,Critical,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.63,2,4,1,-1.357461773663346,2.7296125988696343,3,1,55,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.37,2,4,1,-1.357461773663346,2.7296125988696343,3,1,42,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.77,6,3,1,3.429179190843084,0.2884144875879759,1,3,65,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.63,2,4,1,0.3937367188796189,-0.6687577691426547,0,0,55,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.45,4,1,0,0.3937367188796189,-0.6687577691426547,0,0,35,Medium,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.66,7,4,1,-1.357461773663346,2.7296125988696343,3,1,67,High,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.86,20,2,1,-1.5922467547828327,-2.1694281828813136,2,2,93,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.45,3,4,1,-1.357461773663346,2.7296125988696343,3,1,48,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,4,4,1,-1.7836398170721757,2.381926407704887,3,1,64,High,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.38,1,4,1,-1.357461773663346,2.7296125988696343,3,1,41,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.69,4,3,1,0.2390009075012779,0.7527417882998685,0,4,57,High,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.63,0,3,1,-1.357461773663346,2.7296125988696343,3,1,46,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.54,0,3,1,3.429179190843084,0.2884144875879759,1,3,42,Medium,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.43,2,4,1,-1.357461773663346,2.7296125988696343,3,1,45,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.58,4,2,0,0.2390009075012779,0.7527417882998685,0,4,47,Medium,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,12,3,1,-1.7836398170721757,2.381926407704887,3,1,86,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.95,9,4,1,-1.1929884771589887,1.3139764086581622,3,1,85,Critical,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.89,8,4,1,3.429179190843084,0.2884144875879759,1,3,80,Critical,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.87,25,2,1,-1.5922467547828327,-2.1694281828813136,2,2,103,Critical,Courier partner failure suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.5,0,2,0,-1.357461773663346,2.7296125988696343,3,1,35,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.89,17,4,1,-1.7836398170721757,2.381926407704887,3,1,98,Critical,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.61,0,3,1,-1.357461773663346,2.7296125988696343,3,1,45,Medium,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,15,1,0,-1.1929884771589887,1.3139764086581622,3,1,71,High,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.74,9,2,0,0.3937367188796189,-0.6687577691426547,0,0,65,High,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,8,1,1,3.966911999619658,-0.268436093168843,1,3,59,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,10,3,1,-1.7836398170721757,2.381926407704887,3,1,82,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.49,1,2,0,-0.3911203663377927,-0.935641499841797,0,0,36,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,10,4,1,-1.7836398170721757,2.381926407704887,3,1,77,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.79,7,2,1,0.3937367188796189,-0.6687577691426547,0,0,63,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.73,9,3,1,-1.7836398170721757,2.381926407704887,3,1,69,High,Isolated complaint - no systemic cause
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,13,2,1,-1.7836398170721757,2.381926407704887,3,1,75,Critical,Payment gateway or bank processing delay
"saree color was red online but received pink, cheating",color_mismatch,english,0.53,9,2,0,0.2390009075012779,0.7527417882998685,0,4,54,High,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.7,10,3,1,-1.357461773663346,2.7296125988696343,3,1,70,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.73,4,4,1,-1.711371593081928,-3.4244080913301573,2,2,64,High,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.7,8,3,1,0.2390009075012779,0.7527417882998685,0,4,66,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.7,2,2,0,0.2390009075012779,0.7527417882998685,0,4,49,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.71,9,2,0,-1.711371593081928,-3.4244080913301573,2,2,63,High,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.8,3,2,0,3.966911999619658,-0.268436093168843,1,3,56,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.68,18,3,1,-1.711371593081928,-3.4244080913301573,2,2,85,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,1,1,0,-1.711371593081928,-3.4244080913301573,2,2,47,Medium,Isolated complaint - no systemic cause
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.8,13,3,1,-1.7836398170721757,2.381926407704887,3,1,81,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.92,4,1,1,-1.7836398170721757,2.381926407704887,3,1,59,High,Isolated complaint - no systemic cause
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,22,2,1,-1.1929884771589887,1.3139764086581622,3,1,97,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.6,9,3,1,0.3937367188796189,-0.6687577691426547,0,0,63,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.88,8,2,1,-1.1929884771589887,1.3139764086581622,3,1,70,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.41,8,1,0,-0.3911203663377927,-0.935641499841797,0,0,41,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.85,0,2,1,3.4291791620191963,0.2884144815009377,1,3,52,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.86,16,2,1,-1.7836398170721757,2.381926407704887,3,1,85,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.68,4,1,0,0.3937367188796189,-0.6687577691426547,0,0,47,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.89,9,1,1,3.966911999619658,-0.268436093168843,1,3,67,High,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.51,4,1,0,0.2390009075012779,0.7527417882998685,0,4,38,Medium,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.87,21,4,1,-1.1929884771589887,1.3139764086581622,3,1,105,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,19,4,1,-1.7836398170721757,2.381926407704887,3,1,101,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.76,19,4,1,-1.5922467547828327,-2.1694281828813136,2,2,96,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,2,4,1,-1.711371593081928,-3.4244080913301573,2,2,57,High,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,9,2,0,-1.1929884771589887,1.3139764086581622,3,1,64,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.62,0,4,1,0.3937367188796189,-0.6687577691426547,0,0,51,High,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.58,9,3,1,3.966911999619658,-0.268436093168843,1,3,62,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.52,10,4,1,-1.357461773663346,2.7296125988696343,3,1,66,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.47,8,4,1,0.2390009075012779,0.7527417882998685,0,4,59,High,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.42,7,1,0,-1.357461773663346,2.7296125988696343,3,1,40,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.55,5,1,0,3.4291791620191963,0.2884144815009377,1,3,42,Medium,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.76,5,3,1,0.3937367188796189,-0.6687577691426547,0,0,63,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.54,3,4,1,3.4291791620191963,0.2884144815009377,1,3,53,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.64,3,3,1,-1.5922467003701688,-2.1694284101938868,2,2,53,High,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.63,12,4,1,-1.5922467003701688,-2.1694284101938868,2,2,75,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.61,9,1,0,-0.3911203663377927,-0.935641499841797,0,0,53,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.45,1,4,1,0.2390009075012779,0.7527417882998685,0,4,44,Medium,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.51,2,2,0,0.2390009075012779,0.7527417882998685,0,4,39,Medium,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.33,1,1,0,-0.3911203663377927,-0.935641499841797,0,0,23,Low,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.94,23,2,1,-1.5922467547828327,-2.1694281828813136,2,2,103,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.45,2,4,1,-0.3911203663377927,-0.935641499841797,0,0,46,Medium,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.42,9,1,0,-0.3911203663377927,-0.935641499841797,0,0,44,Medium,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.82,18,2,1,-1.711371593081928,-3.4244080913301573,2,2,87,Critical,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.74,24,3,1,-1.1929884771589887,1.3139764086581622,3,1,100,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.68,5,2,0,0.3937367188796189,-0.6687577691426547,0,0,54,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.82,0,4,1,-1.711371593081928,-3.4244080913301573,2,2,61,High,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.46,4,2,0,0.2390009075012779,0.7527417882998685,0,4,41,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,17,1,0,-1.711371593081928,-3.4244080913301573,2,2,72,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.68,10,3,1,3.4291791620191963,0.2884144815009377,1,3,69,High,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.83,4,4,1,3.4291791620191963,0.2884144815009377,1,3,69,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.73,0,3,1,-1.1929884771589887,1.3139764086581622,3,1,51,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.5,4,3,1,-0.3911203663377927,-0.935641499841797,0,0,48,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.59,9,3,1,0.2390009075012779,0.7527417882998685,0,4,62,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.82,7,2,1,3.4291791620191963,0.2884144815009377,1,3,65,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,7,1,1,-1.1929884771589887,1.3139764086581622,3,1,67,High,Isolated complaint - no systemic cause
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.82,12,1,1,-1.1929884771589887,1.3139764086581622,3,1,70,High,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.67,8,3,1,3.429179190843084,0.2884144875879759,1,3,64,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.7,2,3,1,-0.3911203663377927,-0.935641499841797,0,0,54,High,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.76,0,1,0,0.3937367188796189,-0.6687577691426547,0,0,43,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.5,9,3,1,0.3937367188796189,-0.6687577691426547,0,0,58,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.6,6,2,0,0.2390009075012779,0.7527417882998685,0,4,52,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,11,1,1,-1.7836398170721757,2.381926407704887,3,1,70,High,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,0,3,1,3.966911999619658,-0.268436093168843,1,3,41,Medium,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.76,17,1,1,-1.5922467003701688,-2.1694284101938868,2,2,77,Critical,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.55,6,4,1,-1.357461773663346,2.7296125988696343,3,1,59,High,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.7,21,4,1,-1.5922467003701688,-2.1694284101938868,2,2,97,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.82,0,2,0,3.429179190843084,0.2884144875879759,1,3,51,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.48,10,2,0,-1.357461773663346,2.7296125988696343,3,1,54,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.8,8,4,1,0.2390009075012779,0.7527417882998685,0,4,76,Critical,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.5,10,3,1,-0.3911203663377927,-0.935641499841797,0,0,60,High,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.87,4,4,1,3.966911999619658,-0.268436093168843,1,3,71,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.54,8,2,0,3.966911999619658,-0.268436093168843,1,3,53,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.68,18,2,0,-1.5922467547828327,-2.1694281828813136,2,2,80,Critical,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.83,13,2,1,-1.1929884771589887,1.3139764086581622,3,1,77,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.86,22,3,1,-1.7836398170721757,2.381926407704887,3,1,102,Critical,Payment gateway or bank processing delay
"color mismatch in my order, very upset",color_mismatch,english,0.67,1,3,1,0.3937367188796189,-0.6687577691426547,0,0,50,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.84,18,3,1,-1.7836398170721757,2.381926407704887,3,1,93,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.76,3,1,0,3.429179190843084,0.2884144875879759,1,3,49,Medium,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,8,2,1,-1.7836398170721757,2.381926407704887,3,1,73,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.55,5,3,1,-0.3911203663377927,-0.935641499841797,0,0,52,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.54,9,3,1,0.2390009075012779,0.7527417882998685,0,4,60,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.67,8,4,1,3.429179190843084,0.2884144875879759,1,3,69,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.75,3,2,0,-1.5922467547828327,-2.1694281828813136,2,2,53,High,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.92,11,3,1,-1.711371593081928,-3.4244080913301573,2,2,83,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.72,14,3,1,-1.5922467547828327,-2.1694281828813136,2,2,79,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.89,8,3,1,3.966911999619658,-0.268436093168843,1,3,75,Critical,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.9,12,4,1,-1.5922467547828327,-2.1694281828813136,2,2,89,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.63,3,1,0,3.966911999619658,-0.268436093168843,1,3,42,Medium,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.96,25,4,1,-1.1929884771589887,1.3139764086581622,3,1,118,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.76,14,2,1,-1.5922467547828327,-2.1694281828813136,2,2,76,Critical,Courier partner failure suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.59,6,1,0,3.966911999619658,-0.268436093168843,1,3,46,Medium,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.73,9,1,0,-1.5922467547828327,-2.1694281828813136,2,2,59,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.62,3,3,1,3.429179190843084,0.2884144875879759,1,3,52,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.51,2,3,1,0.3937367188796189,-0.6687577691426547,0,0,44,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.62,7,1,0,3.966911999619658,-0.268436093168843,1,3,50,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.63,10,1,0,-1.357461773663346,2.7296125988696343,3,1,56,High,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.43,9,1,0,0.2390009075012779,0.7527417882998685,0,4,44,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.64,13,3,1,-1.711371593081928,-3.4244080913301573,2,2,73,High,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.84,20,3,1,-1.711371593081928,-3.4244080913301573,2,2,97,Critical,Courier partner failure suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.65,6,1,0,0.2390009075012779,0.7527417882998685,0,4,49,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.52,5,1,0,3.966911999619658,-0.268436093168843,1,3,41,Medium,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,14,3,1,-1.19298844132262,1.3139763500652175,3,1,83,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.56,0,3,1,-0.3911203663377927,-0.935641499841797,0,0,43,Medium,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.8,1,4,1,0.3937367188796189,-0.6687577691426547,0,0,62,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.58,9,3,1,0.3937367188796189,-0.6687577691426547,0,0,62,High,Seller product listing fraud suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.64,2,4,1,3.429179190843084,0.2884144875879759,1,3,56,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,0,4,1,3.966911999619658,-0.268436093168843,1,3,52,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.64,10,1,0,3.966911999619658,-0.268436093168843,1,3,57,High,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.66,5,1,0,3.4291789371217094,0.288414405497268,1,3,48,Medium,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.82,21,3,1,-1.7836398170721757,2.381926407704887,3,1,98,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.78,3,1,0,3.966911999619658,-0.268436093168843,1,3,50,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.39,7,3,1,-1.357461773663346,2.7296125988696343,3,1,48,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,2,3,1,-1.7836398170721757,2.381926407704887,3,1,55,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.37,2,4,1,-0.3911203663377927,-0.935641499841797,0,0,42,Medium,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.53,10,3,1,3.966911999619658,-0.268436093168843,1,3,61,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.79,15,3,1,-1.711371593081928,-3.4244080913301573,2,2,84,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.47,9,3,1,-0.3911203663377927,-0.935641499841797,0,0,56,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.86,24,1,1,-1.1929884771589887,1.3139764086581622,3,1,96,Critical,Payment gateway or bank processing delay
